system;sector;region;grid
Landor;Thesme;Outer Rim Territories;O-6
Kuna's Fist;Zuma (Moddell);Outer Rim Territories;H-16
Langhesa;Meram;Outer Rim Territories;P-4
Kuna's Horn;Zuma (Moddell);Outer Rim Territories;H-16
Langoona;;Hutt Space;S-10
Kuna's Tail;Zuma (Moddell);Outer Rim Territories;H-16
Langsha-Raang;Tamarin;Outer Rim Territories;N-18
Kuna's Tooth;Zuma (Moddell);Outer Rim Territories;H-16
Langston;Kira;Expansion Region;N-15
Kundu Minor;Steniplis;Outer Rim Territories;M-19
Lanjer;Rseik;Outer Rim Territories;N-19
Kupoh;Dohlbani;Mid Rim;R-13
Lankashiir;;Colonies;N-11
Kur Minor;;Wild Space;I-8
Lannik;Lannik Space;Mid Rim;R-13
Kur Nebula;Elrood;Outer Rim Territories;M-20
Lanos;Tandon;Mid Rim;Q-14
Kuras;Elrood;Outer Rim Territories;M-19
Lansend;;Inner Rim;N-12
Kuratooine;;Wild Space;J-5
Lansono;;Core Worlds;L-12
Kuratow;Brevost;Expansion Region;O-15
Lant;Tharin (Periphery);Outer Rim Territories;S-8
Kurdavvia;;Core Worlds;M-11
Lanteeb;Bri'ahl;Outer Rim Territories;I-17
Kurluvion;Weneen;Outer Rim Territories;N-6
Lanthe;Var Hagen;Mid Rim;M-16
Kurost;Kurost;Mid Rim;Q-11
Lanthrym;Elrood;Outer Rim Territories;M-20
Kursid;Esstran (Sith Worlds);Outer Rim Territories;Q-5
Lantillies;Lantillian;Mid Rim;P-8
Kushibah;Gordian Reach;Outer Rim Territories;P-5
Lanz Carpo;;Core Worlds;M-11
Kutag;Farlax;Core Worlds;K-10
Lapez;Esstran;Outer Rim Territories;Q-5
Kuthic;Tharin;Outer Rim Territories;S-8
Laramus;Parmic;Outer Rim Territories;P-18
Kvabja;Uoti;Core Worlds;K-9
Laria;Rseik;Outer Rim Territories;N-19
Kwannot;Alderath;Mid Rim;L-6
Las Lagon;;Inner Rim;M-13
Kwapi;;Wild Space;R-3
Lasan;;Wild Space;P-20
Kwenn;Kastolar;Mid Rim;R-10
Lastelle;Tapani;Colonies;L-13
Kwevron;Clacis;Outer Rim Territories;K-4
Lasten;;Core Worlds;L-13
Kwookrrr;Mytaranor;Mid Rim;P-9
Lateron;Talcene;Mid Rim;Q-8
KyLessia;Bes Ber Bikade;Expansion Region;L-15
Latoma;Brak;Expansion Region;O-14
Kynachi;;Wild Space;J-5
Latza;Spirva;Mid Rim;K-17
Kyoloria;Xappyh;Outer Rim Territories;Q-3
Lau;Meerian;Outer Rim Territories;O-6
Kyrouac;;Inner Rim;K-14
Laud;Brak;Expansion Region;O-14
Kyrska;Hevvrol;Mid Rim;P-15
Lavisar;Strabin;Mid Rim;M-7
Kyryll's World;Phelleem;Outer Rim Territories;S-7
Lazerian;Kira;Expansion Region;N-15
Laakonis;Glythe;Mid Rim;J-7
Leafar;Greater Plooriod;Expansion Region;M-7
Laakteen Depot;;Colonies;L-13
Lechra;Lixal;Inner Rim;M-14
Laboi;Suolriep;Outer Rim Territories;S-8
Ledalau;;Core Worlds;L-12
Ledeve;;Expansion Region;I-7
Little Capella;Gordian Reach;Outer Rim Territories;Q-6
Lekua;Centrality;Outer Rim Territories;T-8
Little Kessel;Kessel;Outer Rim Territories;T-10
Lelmra;Churba;Mid Rim;P-14
Little Petrovi;Yushan;Mid Rim;K-17
Lemmi;Hapes Cluster;Inner Rim;O-9
Little Talhovi;Juvex;Mid Rim;K-18
Lenahra;Velcar;Outer Rim Territories;J-5
Liul;Demetras;Outer Rim Territories;P-7
Lengil;Bes Ber Bikade;Expansion Region;L-15
Livien;Tion Hegemony;Outer Rim Territories;S-5
Lenico;Cademimu;Outer Rim Territories;L-6
Livno;;Wild Space;J-21
Lenniera;;Core Worlds;M-10
Livorno;Belderone;Outer Rim Territories;R-6
Lenthalis;Spirva;Mid Rim;L-17
Llanic;Karthakk;Outer Rim Territories;Q-16
Leonit;Cyrillian Protectorate;Expansion Region;O-12
Llewebum;Rolion;Outer Rim Territories;Q-7
Leoxo;Rayter;Outer Rim Territories;J-19
Llon Nebulae;Itopol;Expansion Region;K-15
Lequabis;;Expansion Region;I-14
Llorkan;;Inner Rim;N-10
Lerct;Prackla;Expansion Region;O-8
Lo'Uran;Aparo;Outer Rim Territories;R-3
Leresen;Lannik Wilds;Mid Rim;R-13
Loac;Hocatar;Expansion Region;P-12
Leria Kerlsil;;Core Worlds;M-10
Lobaoc;Mieru'kar;Outer Rim Territories;N-3
Leritor;Yucrales;Mid Rim;Q-15
Lobaq Station;Rolion;Outer Rim Territories;Q-7
Lespectus;;Core Worlds;M-10
Loce;;Wild Space;S-4
Lessa;Mytaranor;Mid Rim;P-9
Lockest;Palamut;Expansion Region;N-13
Lesser Sloo Gas Cloud;Sloo;Mid Rim;P-14
Loedorvia;Weemell;Core Worlds;K-12
Lesser Tontakoh;Klina;Outer Rim Territories;S-13
Lofquar;Chommell;Mid Rim;O-17
Lessuris;Pelgrin;Outer Rim Territories;R-17
Logal Ri;Chaama;Mid Rim;J-7
Lesu;Dail;Outer Rim Territories;Q-18
Lohopa;Boeus;Expansion Region;M-15
Letaki;Steniplis;Outer Rim Territories;L-19
Loit;Cegul;Outer Rim Territories;M-20
Letev;Tapani;Colonies;L-13
Loj;;Colonies;M-9
Lettow;;Core Worlds;M-11
Loken;Bryx;Mid Rim;R-7
Levian;;Inner Rim;N-8
Lokondo;Braxant;Outer Rim Territories;J-3
Lew'el;;Wild Space;J-3
Lokori;Karthakk;Outer Rim Territories;Q-16
Lexas Prime;Kessel;Outer Rim Territories;U-10
Lokud;Chopani;Outer Rim Territories;L-3
Lexrul;Trax;Mid Rim;Q-10
Lol;Lol;Outer Rim Territories;Q-18
Lexus;Thrasybule;Outer Rim Territories;P-6
Lola Sayu;Belderone;Outer Rim Territories;R-6
Leyaki;Tregillis;Expansion Region;M-15
Lolet;Haserian;Mid Rim;Q-14
Leyoye;Elochar;Mid Rim;R-9
Loletia;Ojoster;Outer Rim Territories;N-7
LFA-509;Thaere;Expansion Region;P-14
Lolnar;;Core Worlds;M-11
Lhosa;;Inner Rim;N-8
Lomabu;Aida;Mid Rim;Q-13
Li-Toran;;Inner Rim;M-13
Lonania;Kossa;Expansion Region;O-11
Lialic;;Deep Core;K-12
Lonatro;Veragi (Gree Enclave);Outer Rim Territories;L-3
Lianna;Allied Tion;Outer Rim Territories;S-6
Londor;Londori;Mid Rim;J-7
Liaq;;Core Worlds;M-11
Lonera;;Inner Rim;O-12
Licha In;Veragi (Gree Enclave);Outer Rim Territories;L-2
Long Shadow;Kallea;Outer Rim Territories;K-21
Ligna;Corva;Outer Rim Territories;P-4
Longwind;Trax;Mid Rim;Q-10
Liinade;Ciutric;Outer Rim Territories;N-5
Lonjair Prime;Danjar;Outer Rim Territories;M-19
Liintaar;Gaulus;Outer Rim Territories;R-17
Lonnaw;Droma;Mid Rim;K-6
Likasha;Likasha;Mid Rim;Q-14
Lontar;;Colonies;J-9
Linasals;Mikaster;Expansion Region;N-15
Loovria;Juvex;Mid Rim;L-18
Linuri;Doldur;Mid Rim;P-15
Loped;;Inner Rim;O-9
Lioaoi;Lioaoin Space*;Unknown Regions;E-7
Lopor Station;Spirva;Mid Rim;K-17
Liok;Ciutric;Outer Rim Territories;N-5
Loposi;Dustig;Mid Rim;M-17
Lipsec;Koradin;Outer Rim Territories;I-18
Lorahns;Sloo;Mid Rim;P-14
Lira San;;Wild Space;O-20
Lorahns Cavity;Sloo;Mid Rim;P-14
Lirra;Baxel;Outer Rim Territories;U-12
Lorardia;D'Astan;Outer Rim Territories;O-6
Lisal;Sarka;Mid Rim;Q-8
Lorattick Nebula;Esstran;Outer Rim Territories;Q-5
Liskan;Ojoster;Outer Rim Territories;N-7
Loratus;Sanbra;Outer Rim Territories;O-17
Lissam;Rayter;Outer Rim Territories;J-18
Lorell;;Inner Rim;O-9
Listehol;Kwymar;Outer Rim Territories;Q-4
Lorenz;Tapani;Colonies;L-13
Listoria;Tapani;Colonies;L-13
Loreth;Saijo;Outer Rim Territories;K-20
Little Atullus;Anthos;Inner Rim;N-8
Loretto;;Core Worlds;M-11
Lorimax;Fakir;Colonies;K-9
Lythia;Suolriep;Outer Rim Territories;S-8
Lorista;Glythe;Mid Rim;J-7
Lythos;Corporate Sector;Outer Rim Territories;S-3
Lorn;Dalchon;Outer Rim Territories;R-17
M'Bardi;Kalamith;Outer Rim Territories;P-5
Loronar;;Colonies;M-12
M'dweshuu Nova;;Hutt Space;S-9
Lorpfan;Tynquay;Outer Rim Territories;R-4
M'haeli;Majoor;Expansion Region;N-15
Lorrad;Allied Tion;Outer Rim Territories;S-6
M'Hanna;;Hutt Space;T-11
Lorrd;Kanz;Outer Rim Territories;N-4
M132L4;;Inner Rim;K-8
Lorta;Gendius;Mid Rim;J-17
M2934738;Tragan Cluster;Outer Rim Territories;N-5
Lost Clusters;;Wild Space;I-20
M4-78;;Inner Rim;O-9
Lost Murvey;;Wild Space;H-6
Ma'alkerr;Rago;Mid Rim;I-7
Lost Souls;Cademimu;Outer Rim Territories;L-6
Ma'ar Shaddam;Rseik;Outer Rim Territories;N-20
Lota;Brak;Expansion Region;O-14
Maarka;Perkell;Mid Rim;Q-7
Loth;;Inner Rim;J-8
Maateen;;Inner Rim;O-10
Lothal;Lothal;Outer Rim Territories;U-7
Maccent;Phelleem;Outer Rim Territories;S-7
Lotho Minor;Wazta;Outer Rim Territories;I-17
Mackar;Hewett;Mid Rim;M-6
Lotide;Mortex;Outer Rim Territories;S-5
Madurs;Maldrood;Mid Rim;R-7
Lovetus;;Core Worlds;L-9
Maelstrom Nebula;Relgim;Outer Rim Territories;K-5
Lovola;Hapes Cluster;Inner Rim;O-9
Maerdocia;Maerdocian;Mid Rim;Q-13
Low'n;Romintine;Mid Rim;Q-8
Magagran;Halthor;Outer Rim Territories;L-6
Lower Flora Cloud;;Inner Rim;I-14
Magar's World;Stensen;Outer Rim Territories;H-17
Lowick;Calaron;Outer Rim Territories;U-9
Magataran Maelstrom;;Inner Rim;N-7
Lowik;Cadavine;Outer Rim Territories;P-17
Magaveene;Prefsbelt;Outer Rim Territories;K-6
Lozash;Bes Ber Bikade;Expansion Region;L-15
Magmar;;Core Worlds;M-10
Lubang Minor;Illisurevimurasi;Outer Rim Territories;Q-4
Magna;;Wild Space;G-14
Lucazec;Nuiri;Outer Rim Territories;Q-6
Magnus Horn;Talcene;Mid Rim;Q-8
Lucrenn;Skine;Outer Rim Territories;Q-19
Magravia;Karthakk;Outer Rim Territories;Q-17
Lucrusia;Seswenna;Outer Rim Territories;M-18
Maher;;Unknown Regions;G-7
Luduria;;Colonies;M-12
Mahranee;Taldot;Mid Rim;P-8
Luj;Tamarin;Outer Rim Territories;N-19
Maicombe;Corthenia;Mid Rim;K-7
Lujo;;Core Worlds;L-12
Maill;Cadavine;Outer Rim Territories;P-17
Luminous Magnificence;;Wild Space;H-14
Mairenhelm;Dona Laza;Expansion Region;P-9
Lupal;;Wild Space;G-20
Maires;Hapes Cluster;Inner Rim;O-9
Lupani;Tapani;Colonies;L-13
Mairne;Kathol;Outer Rim Territories;M-21
Luprora;;Unknown Regions;G-7
Majilop;Lol;Outer Rim Territories;Q-18
Luptoom;Seswenna;Outer Rim Territories;M-18
Majoor;Majoor;Expansion Region;N-15
Lur;Aparo;Outer Rim Territories;R-4
Majoros;;Inner Rim;O-8
Lurania;;Colonies;N-10
Makeb;Aida;Mid Rim;Q-13
Luristan;;Inner Rim;M-14
Makem Te;Nilgaard;Outer Rim Territories;S-5
Lurr;Rayter;Outer Rim Territories;J-19
Makksre;Uoti;Core Worlds;K-9
Lusaanda;Meram;Outer Rim Territories;O-4
Mako-Ta;Noonian;Outer Rim Territories;M-6
Lusdu;Alderaan;Core Worlds;M-10
Makthierse;Cegul;Outer Rim Territories;L-20
Lusk;Tapani;Colonies;L-13
Malachor;Chorlian;Outer Rim Territories;S-4
Lust;;Wild Space;J-20
Maladi;Maladi;Expansion Region;O-12
Lutrillia;Javin (Yarith);Outer Rim Territories;J-18
Malador;Juvex;Mid Rim;L-17
Luudria;Dalchon;Outer Rim Territories;R-17
Malaga Cluster;Steniplis;Outer Rim Territories;L-19
Luuhar;Hapes Cluster;Inner Rim;O-9
Malagarr;;Wild Space;V-8
Luuq;Luuq;Mid Rim;L-7
Malano;;Colonies;N-10
Luxiar;Bon'nyuw-Luq;Outer Rim Territories;N-18
Malanose;Veragi (Gree Enclave);Outer Rim Territories;K-2
Luzalite;;Core Worlds;L-9
Malari;Churnis;Mid Rim;I-6
Lwhekk;Ssi-ruuvi Space*;Unknown Regions;C-16
Malastare;Dustig;Mid Rim;N-16
Lybeya;Bajic;Outer Rim Territories;P-18
Malathon;Ghost Nebula;Expansion Region;P-10
Lyjdaa;Kwymar;Outer Rim Territories;Q-4
Maldo Kreis;Arkanis;Outer Rim Territories;R-16
Lynos;Mortex;Outer Rim Territories;R-4
Maldovea;Brema;Outer Rim Territories;M-17
Lynx;Tapani;Colonies;L-13
Maldra;Shadola;Outer Rim Territories;U-8
Lyran;Quiberon;Outer Rim Territories;S-15
Maldroth;Grumani;Outer Rim Territories;N-17
Lysatra;;Wild Space;I-8
Maleinator;Great Agash;Expansion Region;K-15
Malenko;Eidoloni;Mid Rim;L-16
Mareg;;Wild Space;I-20
Malian;;Expansion Region;I-14
Marfa;;Core Worlds;M-10
Malicar;Mieru'kar;Outer Rim Territories;N-4
Maridun;Rolion;Outer Rim Territories;Q-6
Malkii;Mortex;Outer Rim Territories;S-5
Markbee's Star;Atrivis;Outer Rim Territories;L-5
Mall'ordian;Corporate Sector;Outer Rim Territories;R-3
Markez;Tiala;Mid Rim;K-7
Malloran;Garis;Outer Rim Territories;N-18
Markon;;Core Worlds;L-9
Malo;Sluis;Outer Rim Territories;M-19
Marleyvane;Tharin;Outer Rim Territories;T-8
Malpassia;;Core Worlds;L-10
Marmoth;Albarrio;Outer Rim Territories;K-4
Malpaz;Wazta;Outer Rim Territories;I-17
Marngar;;Core Worlds;M-10
Malrev;Thrasybule;Outer Rim Territories;P-6
Maro Della;Mektrun;Mid Rim;L-17
Malsuum;;Inner Rim;L-14
Marotan;;Inner Rim;O-9
Maltha Obex;Mieru'kar;Outer Rim Territories;O-3
Marquarra;Prefsbelt;Outer Rim Territories;J-5
Maltheen Divide;Trax;Mid Rim;Q-10
Marquinn;;Inner Rim;K-8
Malthor;Tandon;Mid Rim;Q-14
Marranis;Esstran;Outer Rim Territories;P-5
Maltorian;Lifh;Mid Rim;R-8
Marrovia;Gordian Reach;Outer Rim Territories;P-5
Maltorra;;Core Worlds;M-12
Martaus;;Inner Rim;N-8
Malus;Gaulus;Outer Rim Territories;S-17
Martle Station;Indrexu;Outer Rim Territories;S-5
Mamendin;Farrfin;Core Worlds;K-9
Maryo;Corporate Sector;Outer Rim Territories;S-4
Mamkoda;Cassander;Outer Rim Territories;L-5
Maryx Minor;Sujimis;Outer Rim Territories;O-19
Manaan;;Inner Rim;O-11
Marzoon;Marzoon;Mid Rim;I-16
Manakron;Tashtor;Mid Rim;I-16
Masgen;Churnis;Mid Rim;I-7
Manali;Imberlin;Expansion Region;P-14
Masposhani;Taldot;Mid Rim;Q-9
Manari;Brevost;Expansion Region;O-15
Massiff Nebula;;Core Worlds;K-9
Manaxia;;Core Worlds;M-10
Massoss;;Unknown Regions;G-8
Manda;Manda;Mid Rim;R-15
Masterra;Hertae;Mid Rim;Q-14
Mandalore;Mandalore;Outer Rim Territories;O-7
Matabre;Eucer;Mid Rim;Q-7
Mandell;Bothan;Mid Rim;R-14
Matacorn;Lambda;Mid Rim;P-15
Mandellia;Nuiri;Outer Rim Territories;Q-7
Mataou;Javin (Anoat);Outer Rim Territories;K-18
Mandrine;Kessel;Outer Rim Territories;T-10
Matarri;;Inner Rim;N-8
Manella;;Core Worlds;M-9
Mathas;;Inner Rim;J-14
Manforgon;Senex;Mid Rim;L-17
Matra;Corporate Sector;Outer Rim Territories;S-4
Mangan;;Colonies;J-9
Matterhelm;;Inner Rim;N-9
Mangez;Brak;Expansion Region;O-14
Mattri;;Inner Rim;O-10
Mannius;;Wild Space;I-14
Mauk;Metatessu;Mid Rim;R-9
Mannova;Gordian Reach;Outer Rim Territories;Q-5
Maun Digitalis;;Colonies;L-8
Manoe;Manoe;Mid Rim;K-7
Mauphin;;Core Worlds;K-12
Manpha;Seitia;Outer Rim Territories;K-20
Mavinia;;Inner Rim;N-13
Manress;;Inner Rim;N-9
Mavva;Aparo;Outer Rim Territories;R-3
Mantan;Calamari;Outer Rim Territories;U-6
Maw Cluster;Kessel;Outer Rim Territories;T-10
Mantarran;;Inner Rim;L-14
Mawan;;Core Worlds;M-11
Mantessa;Orus;Inner Rim;M-8
Maxca;Brak;Expansion Region;O-14
Mantilorr;Suolriep;Outer Rim Territories;S-10
Maxet;Tragan Cluster;Outer Rim Territories;N-5
Mantooine;Atrivis;Outer Rim Territories;L-5
Maxilia;Vulcusion;Expansion Region;L-16
Manwess;Kilbanis;Colonies;N-9
Maya Kovel;Zuma (Moddell);Outer Rim Territories;H-16
Maphus Tria;Cadma;Outer Rim Territories;T-8
Mayagil;Mayagil;Outer Rim Territories;M-18
Mapuzo;Hollan;Mid Rim;M-7
Mayvitch;Immalia;Expansion Region;L-8
Marais, The;Hatawa;Core Worlds;J-10
Mazhar;Spadja;Outer Rim Territories;R-6
Maraken;Oktos;Mid Rim;R-12
Mazuma;Nuiri;Outer Rim Territories;Q-6
Maramere;Karthakk;Outer Rim Territories;Q-17
Mearalis;Bri'ahl;Outer Rim Territories;I-17
Marasai;Marasa Nebula;Inner Rim;O-10
Meastrinnar;;Inner Rim;K-8
Marasaln;Outer Jalor;Mid Rim;I-7
Mechis;;Inner Rim;L-14
Marca;Meerian;Outer Rim Territories;N-6
Medepiest;Lambda;Mid Rim;P-15
Marcadia;;Inner Rim;N-14
Media;Corporate Sector;Outer Rim Territories;S-4
Marcelan Prime;;Wild Space;J-5
Medoslea;;Inner Rim;O-8
Marcol Void;Kathol;Outer Rim Territories;M-21
Medth;Ado;Mid Rim;M-17
Mardona;;Inner Rim;N-13
Meedis Minor;Tandon;Mid Rim;Q-13
Mefti;;Colonies;L-8
Metharg;Hook Nebula;Outer Rim Territories;O-17
Megalox Beta;Bes Ber Bikade;Expansion Region;L-15
Metharian Nebula;Tantra;Outer Rim Territories;M-19
Megaria;;Inner Rim;M-8
Metlok;Nouane;Inner Rim;N-8
Meglumine;;Inner Rim;J-8
Mev;Javin (Anoat);Outer Rim Territories;K-18
Mek va Uil;Surron;Expansion Region;O-13
Mexeluine;Javin (Anoat);Outer Rim Territories;K-18
Mek-Sha;Belderone;Outer Rim Territories;R-6
Mezeg;Mezeg;Mid Rim;N-7
Mek'tradi;Baroli;Expansion Region;N-14
Mhalanduin;Oktos;Mid Rim;R-12
Mektrun Cluster;Mektrun;Mid Rim;L-17
Mhatma;;Mid Rim;I-16
Melagawni;Likasha;Mid Rim;Q-15
Mhettghar;Atravis;Outer Rim Territories;L-19
Melahna;;Core Worlds;K-9
Midani;Thuris;Outer Rim Territories;P-18
Melasaton;Jjannex;Outer Rim Territories;L-18
Midarr;Mulgard;Mid Rim;N-16
Melchior;Zeemacht Cluster;Inner Rim;N-8
Midgor;Croynar;Inner Rim;M-14
Meldazar;Immalia;Expansion Region;K-8
Miekos;Cegul;Outer Rim Territories;L-20
Melida/Daan;Cadavine;Outer Rim Territories;P-17
Miele Nova;;Core Worlds;L-9
Meligin;Ehosiq;Expansion Region;L-8
Miglar;Morshdine;Outer Rim Territories;O-4
Melinz;;Core Worlds;L-9
Mijos;Javin (Anoat);Outer Rim Territories;K-18
Melldia;Esstran;Outer Rim Territories;Q-4
Mika;Arkanis;Outer Rim Territories;R-17
Melm;Wyl;Outer Rim Territories;S-4
Mikaster;Mikaster;Expansion Region;N-15
Melnea's World;Arkanis;Outer Rim Territories;R-16
Mikkia;Greater Plooriod;Expansion Region;M-7
Melus;Nicandra;Mid Rim;L-7
Miko;Esaga;Mid Rim;Q-11
Mendacia;Fei Hu;Mid Rim;P-13
Mil Velay;;Inner Rim;M-8
Mendavi;Ferra;Outer Rim Territories;S-16
Mila;Brak;Expansion Region;O-14
Mendenbatt;Mortex;Outer Rim Territories;R-5
Milagro;Chaykin;Expansion Region;O-14
Mendicat;;Wild Space;I-8
Milarian;Trans-Nebular;Mid Rim;R-16
Mengal;Gordian Reach;Outer Rim Territories;Q-6
Mileva;Maldrood;Mid Rim;R-7
Mengjini;Bright Jewel;Mid Rim;L-7
Millinar;Hapes Cluster;Inner Rim;O-9
Mennar-Daye;Thesme;Outer Rim Territories;O-6
Milvayne;;Inner Rim;L-8
Mentanar Vosk;Nijune;Outer Rim Territories;O-4
Mima;D'Aelgoth;Mid Rim;L-17
Menthusa;;Colonies;M-9
Mina-Rau;D'Astan;Outer Rim Territories;O-6
Meor Ain;Jubilar;Outer Rim Territories;T-7
Minashee;Cassander (Tadrin);Outer Rim Territories;K-5
Mepha'as Prime;Belsmuth;Outer Rim Territories;O-6
Minavar;Bheriz;Outer Rim Territories;U-10
Mephitis;;Colonies;J-13
Mindabaal;Faultheen;Inner Rim;J-13
Mephout;Mephout Dominion*;Wild Space;H-20
Mindemir;;Colonies;N-10
Merakai;;Core Worlds;K-9
Mindor;;Inner Rim;M-8
Meria;;Mid Rim;H-15
Minfar;;Inner Rim;I-13
Meridian;Meridian;Outer Rim Territories;R-7
Minkring;Shelsha;Colonies;M-9
Merikon;Fath;Outer Rim Territories;K-6
Minntaa;Nilgaard;Outer Rim Territories;S-5
Merisee;Elrood;Outer Rim Territories;M-19
Minntooine;Calamari;Outer Rim Territories;T-6
Merj;Thesme;Outer Rim Territories;O-6
Minoth;Masla;Mid Rim;J-17
Merokia;Koradin;Outer Rim Territories;J-18
Mirak Major;;Inner Rim;M-14
Merren;Chaykin;Expansion Region;O-14
Mircapala;;Wild Space;S-3
Merson;;Inner Rim;O-10
Mirial;Illisurevimurasi;Outer Rim Territories;Q-4
Merthia;Merthian;Expansion Region;N-13
Miriatin;Var Hagen;Mid Rim;M-16
Meruud;Narrant;Mid Rim;I-16
Mirit;;Colonies;K-9
Mes Cavoli;Venaarian;Mid Rim;O-7
Mirnic;Seswenna;Outer Rim Territories;M-18
Meserian;Nijune;Outer Rim Territories;O-4
Miro;Fath;Outer Rim Territories;K-6
Meshakia;Likasha;Mid Rim;Q-14
Mirran;Morobe;Colonies;N-11
Messert;Mytaranor;Mid Rim;Q-10
Mirrin Prime;Kalamith (Mirrin);Outer Rim Territories;P-5
Messia;;Core Worlds;M-11
Mirshaf;;Core Worlds;L-9
Mestare;;Deep Core;L-12
Mirshilan;Dalchon;Outer Rim Territories;R-17
Mestra;Minos Cluster;Outer Rim Territories;M-20
Mis-Tenek;Manda;Mid Rim;S-15
Mestun;Thrasybule;Outer Rim Territories;P-6
Misnor;Meram;Outer Rim Territories;O-4
Mesula;Eidoloni;Mid Rim;M-16
Mistar;Tragan Cluster;Outer Rim Territories;N-5
Metagos;Cadma;Outer Rim Territories;T-8
Mitek-Por;;Inner Rim;M-8
Metalorn;Talcene;Mid Rim;R-8
Mittoblade;;Inner Rim;K-8
Metellos;Corusca;Core Worlds;K-10
Miv'rah;Gaulus;Outer Rim Territories;R-17
Mizra;;Inner Rim;O-8
Morogia;;Core Worlds;M-10
Miztoc;Irnaj;Mid Rim;K-17
Morseer;Quelii;Outer Rim Territories;O-6
Mobetta;Airam;Outer Rim Territories;M-20
Morton;Majoor;Expansion Region;N-15
Modus;Hapes Cluster;Inner Rim;O-9
Morturia;Relgim;Outer Rim Territories;L-4
Moer;Hewett;Mid Rim;M-7
Morvogodine;Calaron;Outer Rim Territories;T-9
Mogoshyn;Gordian Reach;Outer Rim Territories;P-5
Moseum;Thesme;Outer Rim Territories;O-6
Mohsenia;Meridian;Outer Rim Territories;R-6
Moshaw;Seswenna;Outer Rim Territories;M-18
Mokivj;Pacanth Reach;Outer Rim Territories;G-16
Moskk;Albarrio;Outer Rim Territories;K-5
Mokk;;Inner Rim;N-10
Mossak;Thanium;Outer Rim Territories;R-6
Mol'leaj;Thaere;Expansion Region;O-14
Motexx;;Colonies;M-13
Molavar;Abrion;Outer Rim Territories;S-15
Mourushia;Barsa;Mid Rim;J-6
Moldour;Lothal;Outer Rim Territories;U-7
Movris;Noonian;Outer Rim Territories;M-6
Mollo Tanka;Corellian;Core Worlds;M-11
Mowgle;Demophon;Core Worlds;M-10
Molos;Stensen;Outer Rim Territories;I-17
Mrinzebon;Sombure;Mid Rim;K-16
Moloskia;Mbandamonte;Expansion Region;N-15
Mrisst;Fakir;Colonies;K-9
Moltok;Atrivis;Outer Rim Territories;L-5
Mrlsst;Tapani;Colonies;L-13
Momansi;Brevost;Expansion Region;O-15
Msst;Msst;Mid Rim;P-7
Mon Cala;Calamari;Outer Rim Territories;U-6
Mugaar;Bruanii;Mid Rim;K-18
Mon Gazza;Lambda;Mid Rim;Q-16
Mulatan;;Hutt Space;S-10
Mon Torri;Msst;Mid Rim;P-7
Muldore;;Core Worlds;J-9
Monadin;Kuat;Core Worlds;M-10
Mulita;;Wild Space;H-19
Monastery;Haserian;Mid Rim;Q-14
Mullan;Keldrath;Outer Rim Territories;T-6
Mondress;Mondress;Expansion Region;J-7
Mulvar;Obtrexta;Outer Rim Territories;K-3
Monhudle;Cassander (Tadrin);Outer Rim Territories;K-5
Munlali Mafir;;Unknown Regions;G-5
Monic;Trianii Space*;Wild Space;R-3
Munt Ontdal;Fei Hu;Mid Rim;Q-13
Monnoc;Rseik;Outer Rim Territories;N-19
Munto Codru;Pakuuni;Outer Rim Territories;T-6
Monor;Doldur;Mid Rim;P-15
Muntro;Mayagil;Outer Rim Territories;N-18
Monsua Nebula;Zuma (Moddell);Outer Rim Territories;H-16
Muntuur;Sloo;Mid Rim;P-14
Monta;Daimar;Mid Rim;Q-16
Mupin;Rocantor;Expansion Region;L-15
Montalsia;Corellian;Core Worlds;M-11
Muqular;Montitian Grant;Expansion Region;J-15
Montitia;Montitian Grant;Expansion Region;J-15
Murakam;;Deep Core;M-11
Montross;Truum;Mid Rim;P-8
Murgo;;Wild Space;I-7
Moobia;Kastolar;Mid Rim;R-10
Murk;Zuma (Moddell);Outer Rim Territories;H-16
Moog Mot;Tharin;Outer Rim Territories;S-8
Murkhana;Auril;Outer Rim Territories;S-6
Mooga;Perkell;Mid Rim;Q-7
Murninkam;Corva;Outer Rim Territories;O-3
Moonflower Nebula;;Wild Space;U-16
Musca;Merthian;Expansion Region;N-14
Moonus Mandel;Bothan;Mid Rim;R-14
Muskree;Colundra;Outer Rim Territories;S-5
Moorja;;Inner Rim;L-15
Musson;Karthakk;Outer Rim Territories;Q-16
Moorjhone;Jospro;Outer Rim Territories;R-7
Mussubir;Senex;Mid Rim;L-17
Mooshie Cluster;Videnda;Outer Rim Territories;L-18
Mustafar;Atravis;Outer Rim Territories;L-19
Moraband;Esstran (Sith Worlds);Outer Rim Territories;R-5
Muunilinst;Obtrexta;Outer Rim Territories;K-4
Morado;Hune;Mid Rim;Q-11
Muuria;;Inner Rim;M-13
Moraga;Oricho;Outer Rim Territories;M-5
Muzara;Trestis;Expansion Region;K-8
Morak;;Wild Space;H-18
Muzzli;Citlik;Expansion Region;O-15
Moralan;;Hutt Space;T-10
Mycroft;Fakir;Colonies;K-9
Morath Nebula;Hatawa;Core Worlds;J-10
Mydasos;Dalicron;Outer Rim Territories;K-19
Moravia;Lambda;Mid Rim;Q-16
Mygeeto;Albarrio;Outer Rim Territories;K-5
Moraysi;Skine (Moraysian);Outer Rim Territories;P-18
Mykapo;Ash Worlds;Outer Rim Territories;T-7
Mordagon;Authala;Expansion Region;P-12
